# Culture Générale - Facile
Culture Générale;easy;qcm;Quelle est la capitale de la France ?;Lyon,Paris,Marseille,Bordeaux;1;Paris est la capitale de la France depuis des siècles.
Culture Générale;easy;boolean;Le soleil se lève à l'est.;;1;Le soleil se lève toujours à l'est et se couche à l'ouest.
Culture Générale;easy;text;Combien y a-t-il de jours dans une semaine ? (en chiffre);;7,sept;Une semaine compte 7 jours.
Culture Générale;easy;qcm;Quelle est la couleur du ciel par temps clair ?;Rouge,Vert,Bleu,Jaune;2;
Culture Générale;easy;boolean;L'eau bout à 100 degrés Celsius au niveau de la mer.;;1;
Culture Générale;easy;qcm;Combien de continents y a-t-il sur Terre ?;5,6,7,8;2;
Culture Générale;easy;boolean;La Tour Eiffel se trouve à Londres.;;0;
Culture Générale;easy;text;Quelle est la plus grande planète du système solaire ?;;Jupiter;
Culture Générale;easy;qcm;Quel animal est le symbole de l'Australie ?;Koala,Kangourou,Émeu,Wombat;1;
Culture Générale;easy;boolean;L'Amazone est le plus long fleuve du monde.;;0;Le Nil est le plus long.
Culture Générale;easy;qcm;Combien de côtés a un hexagone ?;4,5,6,8;2;
Culture Générale;easy;text;Quel est le métal le plus léger ?;;Lithium;
Culture Générale;easy;boolean;Les dauphins sont des poissons.;;0;Ce sont des mammifères.
Culture Générale;easy;qcm;Quelle est la langue la plus parlée au monde ?;Anglais,Espagnol,Mandarin,Hindi;2;
Culture Générale;easy;boolean;Le Sahara est le plus grand désert du monde.;;0;L'Antarctique est plus grand.

# Culture Générale - Moyen
Culture Générale;medium;qcm;Quel est le plus grand océan du monde ?;Atlantique,Indien,Arctique,Pacifique;3;
Culture Générale;medium;text;Quel est le symbole chimique de l'or ?;;Au;
Culture Générale;medium;qcm;Combien de planètes composent notre système solaire ?;7,8,9,10;1;
Culture Générale;medium;boolean;La Grande Muraille de Chine est visible depuis l'espace à l'œil nu.;;0;
Culture Générale;medium;qcm;Quelle est la monnaie du Japon ?;Yuan,Won,Yen,Baht;2;
Culture Générale;medium;qcm;Quel pays a la plus grande population ?;États-Unis,Inde,Chine,Indonésie;2;
Culture Générale;medium;boolean;Vénus est la planète la plus chaude du système solaire.;;1;
Culture Générale;medium;text;Quel gaz représente environ 78% de l'atmosphère terrestre ?;;Azote,N2;
Culture Générale;medium;qcm;Quelle est la capitale de l'Australie ?;Sydney,Melbourne,Canberra,Perth;2;
Culture Générale;medium;boolean;Le son se propage plus vite dans l'eau que dans l'air.;;1;
Culture Générale;medium;qcm;Quel est le plus petit pays du monde ?;Monaco,Vatican,Saint-Marin,Liechtenstein;1;
